,cve_ent,poblacion,Nom_Ent,nom_mun,Total,semana f,semana g,semana 0,semana 1,semana 2,semana 3,semana 4,semana 5,semana 6,semana 7,semana 8,semana 9,semana 10,semana 11,semana 12,semana 13,semana 14,semana 15,semana 16,semana 17,semana 18,semana 19,semana 20,semana 21,semana 22,semana 23,semana 24,semana 25,semana 26,semana 27,semana 28,semana 29,semana 30,semana 31,semana 32,semana 33,semana 34,semana 35,semana 36,semana 37,semana 38,semana 39,semana 40,semana 41,semana 42,semana 43,semana 44,semana 45,semana 46,semana 47,semana 48,semana 49,semana 50,semana 51,semana 52,semana 53,semana 54,semana 55,semana 56,semana 57,semana 58,semana 59,semana 60,semana 61,semana 62
1682,21116,23329,Puebla,Quimixtlán,18,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
1683,21117,14754,Puebla,Rafael Lara Grajales,115,0,0,0,0,0,0,0,0,0,0,0,2,1,2,4,2,2,2,3,6,4,5,0,3,6,4,4,4,1,0,0,0,0,0,2,0,0,3,0,0,0,1,0,1,0,1,2,6,7,5,1,3,3,4,2,4,4,3,4,0,2,1,1,0,0
1684,21118,29171,Puebla,Los Reyes de Juárez,61,0,0,0,0,0,0,0,0,1,1,6,1,2,4,1,3,3,1,6,1,2,2,0,1,2,3,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,2,1,0,1,0,0,1,0,0,0,0,1,1,1,0,2,0,0
1685,21119,154192,Puebla,San Andrés Cholula,2201,0,0,0,4,10,7,7,8,10,9,16,6,16,29,33,33,38,90,65,65,39,63,61,48,63,51,21,59,24,34,27,28,24,12,18,35,33,32,23,40,48,76,75,58,41,73,98,92,96,57,42,26,42,32,50,35,20,15,10,4,14,2,6,6,2
1686,21120,5871,Puebla,San Antonio Cañada,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
1687,21121,1267,Puebla,San Diego la Mesa Tochimiltzingo,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1688,21122,11025,Puebla,San Felipe Teotlalcingo,55,0,0,0,0,0,0,0,0,0,2,2,0,3,2,1,0,3,2,1,0,2,2,0,3,2,1,0,0,1,3,2,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,3,2,3,1,1,0,4,0,0,0,0,0,0,0,1,1,1,0,0
1689,21123,4143,Puebla,San Felipe Tepatlán,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1690,21124,16701,Puebla,San Gabriel Chilac,29,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,3,1,1,2,1,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,3,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1691,21125,9608,Puebla,San Gregorio Atzompa,74,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,2,2,0,2,1,1,2,1,0,4,2,2,4,2,3,0,2,0,0,0,0,0,0,0,0,1,2,1,5,3,5,7,0,0,2,0,1,3,1,1,0,2,1,0,1,0,1,1
1692,21126,6639,Puebla,San Jerónimo Tecuanipan,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,1,0,1,3,0,1,2,0,1,0,0,0,0,1,1,1,0,0,0
1693,21127,3675,Puebla,San Jerónimo Xayacatlán,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1694,21128,9309,Puebla,San José Chiapa,70,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,2,2,2,1,3,3,1,2,1,1,1,2,0,2,1,0,2,0,3,0,0,0,0,2,0,2,1,3,1,1,3,4,0,1,4,2,1,2,2,0,1,2,0,3,1,0,0
1695,21129,14148,Puebla,San José Miahuatlán,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,2,2,2,3,4,3,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
1696,21130,3545,Puebla,San Juan Atenco,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0
1697,21131,939,Puebla,San Juan Atzompa,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1698,21132,162438,Puebla,San Martín Texmelucan,2172,0,0,0,0,0,0,0,0,4,7,8,17,21,24,20,44,41,48,68,55,45,70,59,51,31,37,26,28,38,22,13,19,16,23,26,23,34,24,44,34,35,54,47,66,73,82,134,129,97,75,46,38,33,25,26,17,25,21,24,32,28,19,17,8,1
1699,21133,674,Puebla,San Martín Totoltepec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700,21134,21644,Puebla,San Matías Tlalancaleca,122,0,0,0,0,0,0,0,0,1,1,2,0,3,0,2,1,3,5,3,1,9,3,2,2,3,1,2,0,3,1,0,2,0,1,1,1,2,1,2,0,0,4,2,0,3,0,11,3,8,3,7,2,1,6,4,0,1,3,1,1,2,1,1,0,0
1701,21135,537,Puebla,San Miguel Ixitlán,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702,21136,13310,Puebla,San Miguel Xoxtla,100,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,0,1,2,3,4,3,4,3,1,1,0,3,2,2,1,1,0,2,1,0,2,0,5,0,2,1,2,1,1,3,1,1,1,7,5,4,6,4,0,2,7,1,0,2,0,0,1,0,0
1703,21137,10491,Puebla,San Nicolás Buenos Aires,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,3,2,1,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0
1704,21138,12430,Puebla,San Nicolás de los Ranchos,46,0,0,0,0,0,0,0,0,0,1,0,3,0,0,2,1,0,0,4,1,1,3,2,0,1,2,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,6,0,2,0,3,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0
1705,21139,3778,Puebla,San Pablo Anicano,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0
