,cve_ent,poblacion,Nom_Ent,nom_mun,Total,febrero20,marzo20,abril20,mayo20,junio20,julio20,agosto20,septiembre20,octubre20,noviembre20,diciembre20,enero21,febrero21,marzo21
0,1001,961977,Aguascalientes,Aguascalientes,19417,1,45,208,515,1165,1268,1375,1364,2334,3629,2370,3197,1569,377
1,1002,50864,Aguascalientes,Asientos,420,0,1,1,7,21,42,17,12,46,88,73,64,43,5
2,1003,60760,Aguascalientes,Calvillo,911,0,0,9,2,25,89,18,41,64,177,116,186,145,39
3,1004,16918,Aguascalientes,Cosío,120,0,0,0,17,25,25,17,2,6,11,2,8,7,0
4,1005,130184,Aguascalientes,Jesús María,692,0,1,12,21,42,66,72,65,91,94,72,72,76,8
5,1006,50032,Aguascalientes,Pabellón de Arteaga,784,0,5,6,25,57,70,40,80,107,161,86,89,45,13
6,1007,57981,Aguascalientes,Rincón de Romos,662,0,1,10,40,89,153,84,38,80,70,16,41,35,5
7,1008,9661,Aguascalientes,San José de Gracia,108,0,0,4,1,18,26,6,3,9,12,13,9,6,1
8,1009,22743,Aguascalientes,Tepezalá,250,0,1,1,24,43,48,24,13,20,23,18,22,8,5
9,1010,21947,Aguascalientes,El Llano,54,0,0,1,3,3,7,4,4,6,2,11,6,5,2
10,1011,51568,Aguascalientes,San Francisco de los Romo,232,0,0,4,8,20,17,12,15,20,43,35,32,24,2
11,2001,536143,Baja California,Ensenada,8579,0,4,83,255,721,930,724,545,570,1100,1692,1392,477,86
12,2002,1087478,Baja California,Mexicali,17932,0,65,796,2329,2759,1959,954,901,1329,1792,2629,1739,563,117
13,2003,113857,Baja California,Tecate,1538,0,1,87,86,82,144,147,146,165,203,280,137,45,15
14,2004,1789531,Baja California,Tijuana,16559,0,107,1130,1084,812,1254,1265,1132,980,1658,3116,2889,923,209
15,2005,107859,Baja California,Playas de Rosarito,1021,0,2,25,40,50,78,100,74,63,74,229,187,78,21
16,3001,83051,Baja California Sur,Comondú,1977,0,0,6,49,103,189,139,106,187,194,315,524,143,22
17,3002,67727,Baja California Sur,Mulegé,2061,0,0,7,67,198,277,107,124,152,185,201,531,184,28
18,3003,301961,Baja California Sur,La Paz,13017,0,8,123,139,382,1580,1802,1534,1017,855,1512,2407,1393,265
19,3008,330312,Baja California Sur,Los Cabos,8687,0,34,172,80,262,938,924,636,791,709,1183,1885,915,158
20,3009,21657,Baja California Sur,Loreto,1246,0,0,0,4,111,68,110,126,200,82,171,218,138,18
21,4001,63298,Campeche,Calkiní,263,0,0,3,18,52,105,43,11,5,0,4,12,9,1
22,4002,317424,Campeche,Campeche,3742,0,3,27,146,813,1040,359,163,169,145,248,364,189,76
23,4003,275478,Campeche,Carmen,2846,0,5,65,284,604,714,232,141,116,123,166,236,137,23
24,4004,99945,Campeche,Champotón,327,0,0,3,25,64,97,44,16,13,7,7,28,16,7
25,4005,34683,Campeche,Hecelchakán,280,0,0,2,18,43,84,74,24,2,2,5,16,10,0
26,4006,44051,Campeche,Hopelchén,183,0,0,0,2,23,80,42,8,1,1,1,17,6,2
27,4007,9868,Campeche,Palizada,58,0,0,0,7,1,32,4,5,0,0,3,0,3,3
28,4008,11930,Campeche,Tenabo,63,0,0,1,6,30,11,3,2,2,0,0,6,2,0
29,4009,63495,Campeche,Escárcega,624,0,0,0,18,175,179,88,18,20,27,30,37,24,8
30,4010,31723,Campeche,Calakmul,108,0,0,1,5,16,9,9,11,12,7,8,16,7,7
31,4011,48722,Campeche,Candelaria,163,0,0,10,16,16,43,46,6,1,6,3,8,7,1
32,5001,1130,Coahuila de Zaragoza,Abasolo,7,0,0,0,0,0,0,0,0,2,1,0,3,1,0
33,5002,163157,Coahuila de Zaragoza,Acuña,3201,0,0,7,29,513,864,248,166,124,155,312,583,178,22
34,5003,24705,Coahuila de Zaragoza,Allende,716,0,0,1,1,15,111,107,24,40,133,107,139,36,2
35,5004,25477,Coahuila de Zaragoza,Arteaga,125,0,0,2,0,11,5,18,18,20,6,8,26,8,3
36,5005,1945,Coahuila de Zaragoza,Candela,17,0,0,0,0,0,1,1,0,5,0,2,8,0,0
37,5006,30568,Coahuila de Zaragoza,Castaños,391,0,2,9,8,8,26,52,32,30,54,50,78,34,8
38,5007,14623,Coahuila de Zaragoza,Cuatro Ciénegas,757,0,0,2,11,8,22,80,27,125,183,131,120,42,6
39,5008,3353,Coahuila de Zaragoza,Escobedo,30,0,0,2,0,0,1,3,0,3,2,4,11,4,0
40,5009,64483,Coahuila de Zaragoza,Francisco I. Madero,1529,0,0,2,63,156,375,127,72,150,203,153,133,91,4
41,5010,87942,Coahuila de Zaragoza,Frontera,1568,0,8,24,25,51,193,188,171,157,161,234,259,81,16
42,5011,13501,Coahuila de Zaragoza,General Cepeda,78,0,0,0,1,0,5,8,10,31,4,3,11,3,2
43,5012,1964,Coahuila de Zaragoza,Guerrero,21,0,0,0,0,2,2,1,7,5,2,0,2,0,0
44,5013,1888,Coahuila de Zaragoza,Hidalgo,18,0,0,0,0,0,0,3,2,1,0,0,12,0,0
45,5014,10994,Coahuila de Zaragoza,Jiménez,54,0,1,0,0,2,5,22,1,1,0,1,7,9,5
46,5015,1722,Coahuila de Zaragoza,Juárez,16,0,0,1,1,0,0,0,1,0,11,2,0,0,0
47,5016,1984,Coahuila de Zaragoza,Lamadrid,81,0,0,0,0,0,8,10,6,17,7,15,15,3,0
48,5017,119492,Coahuila de Zaragoza,Matamoros,1335,0,1,15,41,150,196,129,48,170,262,152,95,57,19
49,5018,251346,Coahuila de Zaragoza,Monclova,7059,0,31,178,78,122,589,1134,739,956,948,965,1002,261,56
50,5019,9430,Coahuila de Zaragoza,Morelos,197,0,1,0,1,8,21,9,5,5,23,41,62,19,2
51,5020,75647,Coahuila de Zaragoza,Múzquiz,1718,0,1,3,4,117,222,249,172,158,168,315,254,53,2
52,5021,7152,Coahuila de Zaragoza,Nadadores,109,0,0,1,1,1,11,18,18,21,15,7,14,2,0
53,5022,33101,Coahuila de Zaragoza,Nava,720,0,0,2,3,25,70,76,50,104,74,126,150,34,6
54,5023,11628,Coahuila de Zaragoza,Ocampo,130,0,0,1,24,6,2,13,2,12,18,26,20,4,2
55,5024,48694,Coahuila de Zaragoza,Parras,959,0,0,0,7,30,133,104,101,119,38,23,165,212,27
56,5025,177255,Coahuila de Zaragoza,Piedras Negras,6358,0,4,46,43,313,1569,1139,351,461,395,568,1061,344,64
57,5026,3654,Coahuila de Zaragoza,Progreso,27,0,0,0,0,8,3,0,3,1,8,1,1,2,0
58,5027,103252,Coahuila de Zaragoza,Ramos Arizpe,693,0,0,7,5,18,42,50,30,83,84,109,176,76,13
59,5028,69500,Coahuila de Zaragoza,Sabinas,2263,0,0,1,19,278,350,237,143,211,253,362,326,80,3
60,5029,2614,Coahuila de Zaragoza,Sacramento,171,0,0,8,12,7,13,27,11,30,15,16,26,6,0
61,5030,869184,Coahuila de Zaragoza,Saltillo,13868,0,15,39,121,572,1190,2186,1236,2104,1377,1496,2500,846,186
62,5031,25820,Coahuila de Zaragoza,San Buenaventura,337,0,0,2,2,9,42,48,55,27,39,53,46,12,2
63,5032,47315,Coahuila de Zaragoza,San Juan de Sabinas,1914,0,0,3,9,196,339,280,132,158,223,297,224,53,0
64,5033,117370,Coahuila de Zaragoza,San Pedro,2175,0,0,3,101,334,379,126,57,168,310,251,297,143,6
65,5034,7740,Coahuila de Zaragoza,Sierra Mojada,55,0,0,0,0,0,1,3,0,36,9,1,1,3,1
66,5035,744247,Coahuila de Zaragoza,Torreón,16095,1,8,47,473,1672,1714,1323,895,2887,3295,1759,1285,608,128
67,5036,23781,Coahuila de Zaragoza,Viesca,107,0,0,0,3,5,20,14,1,4,21,9,21,9,0
68,5037,6859,Coahuila de Zaragoza,Villa Unión,271,0,0,0,0,13,51,61,23,22,18,30,37,15,1
69,5038,14203,Coahuila de Zaragoza,Zaragoza,376,0,0,0,1,11,25,42,4,22,49,86,108,25,3
70,6001,32363,Colima,Armería,164,0,0,0,6,7,27,29,25,19,11,9,23,8,0
71,6002,169188,Colima,Colima,2881,0,2,2,13,43,336,582,397,382,195,200,456,232,41
72,6003,23902,Colima,Comala,125,0,0,0,0,3,18,20,15,16,10,4,28,11,0
73,6004,22167,Colima,Coquimatlán,178,0,0,0,4,3,31,39,24,35,7,4,18,13,0
74,6005,32829,Colima,Cuauhtémoc,347,0,1,0,6,2,28,45,29,42,20,34,82,48,10
75,6006,6078,Colima,Ixtlahuacán,119,0,0,0,0,5,13,25,20,33,11,2,9,1,0
76,6007,203306,Colima,Manzanillo,2874,0,2,17,94,300,376,432,327,301,150,189,397,260,29
77,6008,9670,Colima,Minatitlán,58,0,0,1,0,0,9,15,15,2,1,3,4,7,1
78,6009,134631,Colima,Tecomán,1359,0,0,1,13,72,363,244,190,138,76,89,97,68,8
79,6010,151019,Colima,Villa de Álvarez,2447,0,0,5,9,36,238,443,346,375,134,179,444,201,37
80,7001,19856,Chiapas,Acacoyagua,15,0,0,0,0,3,3,5,0,0,0,1,1,2,0
81,7002,34494,Chiapas,Acala,30,0,0,0,14,4,4,2,0,0,1,1,4,0,0
82,7003,31069,Chiapas,Acapetahua,16,0,0,0,0,8,2,1,0,0,0,1,2,1,1
83,7004,35982,Chiapas,Altamirano,38,0,0,3,3,14,10,1,1,1,0,4,1,0,0
84,7005,21836,Chiapas,Amatán,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0
85,7006,33860,Chiapas,Amatenango de la Frontera,18,0,0,0,0,4,1,3,2,4,3,0,1,0,0
86,7007,10779,Chiapas,Amatenango del Valle,5,0,0,0,0,0,0,0,1,1,2,0,0,1,0
87,7008,30925,Chiapas,Angel Albino Corzo,16,0,0,0,1,0,5,3,1,0,2,2,2,0,0
88,7009,44264,Chiapas,Arriaga,82,0,0,3,28,19,8,6,2,4,3,4,4,1,0
89,7010,8324,Chiapas,Bejucal de Ocampo,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
90,7011,22028,Chiapas,Bella Vista,4,0,0,0,0,2,0,1,0,0,0,0,1,0,0
91,7012,56971,Chiapas,Berriozábal,116,0,0,3,23,23,10,5,3,1,0,10,22,15,1
92,7013,38101,Chiapas,Bochil,45,0,0,0,4,26,9,1,3,0,0,0,1,1,0
93,7014,24374,Chiapas,El Bosque,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0
94,7015,50439,Chiapas,Cacahoatán,56,0,0,4,5,16,10,5,4,2,0,0,5,3,2
95,7016,19006,Chiapas,Catazajá,17,0,0,1,2,3,5,3,0,1,0,0,0,1,1
96,7017,93518,Chiapas,Cintalapa,65,0,0,0,4,7,13,13,0,3,2,1,12,5,5
97,7018,10035,Chiapas,Coapilla,4,0,0,0,0,2,0,0,0,2,0,0,0,0,0
98,7019,170498,Chiapas,Comitán de Domínguez,336,0,0,7,41,70,67,59,31,6,9,29,10,7,0
99,7020,50535,Chiapas,La Concordia,33,0,0,0,0,5,2,7,4,5,0,0,7,3,0
100,7021,24030,Chiapas,Copainalá,9,0,0,0,1,1,4,0,0,1,0,0,0,2,0
101,7022,18016,Chiapas,Chalchihuitán,6,0,0,0,0,0,0,1,0,0,1,2,2,0,0
102,7023,95357,Chiapas,Chamula,7,0,0,0,1,0,0,0,1,1,1,2,1,0,0
103,7024,13332,Chiapas,Chanal,6,0,0,0,0,0,0,1,0,3,2,0,0,0,0
104,7025,8248,Chiapas,Chapultenango,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0
105,7026,43453,Chiapas,Chenalhó,4,0,0,1,1,0,0,0,0,0,1,0,1,0,0
106,7027,111223,Chiapas,Chiapa de Corzo,231,0,1,7,62,63,16,8,4,1,7,15,34,11,2
107,7028,6406,Chiapas,Chiapilla,9,0,0,0,3,3,1,1,0,0,0,0,0,1,0
108,7029,5605,Chiapas,Chicoasén,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0
109,7030,38122,Chiapas,Chicomuselo,18,0,0,1,3,0,9,3,1,0,0,0,1,0,0
110,7031,140023,Chiapas,Chilón,6,0,0,0,1,2,0,0,0,0,1,2,0,0,0
111,7032,34628,Chiapas,Escuintla,16,0,0,1,4,2,9,0,0,0,0,0,0,0,0
112,7033,8278,Chiapas,Francisco León,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0
113,7034,80805,Chiapas,Frontera Comalapa,45,0,0,1,12,16,2,2,0,3,3,4,2,0,0
114,7035,15741,Chiapas,Frontera Hidalgo,24,0,0,0,1,4,7,5,2,1,1,1,2,0,0
115,7036,7882,Chiapas,La Grandeza,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
116,7037,38185,Chiapas,Huehuetán,44,0,0,0,15,20,4,1,2,0,1,0,0,1,0
117,7038,25616,Chiapas,Huixtán,6,0,0,0,1,1,0,0,2,1,1,0,0,0,0
118,7039,25161,Chiapas,Huitiupán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,7040,59209,Chiapas,Huixtla,176,0,0,1,44,49,53,8,4,2,0,0,6,7,2
120,7041,49602,Chiapas,La Independencia,15,0,0,2,2,2,1,3,0,0,0,4,0,1,0
121,7042,12317,Chiapas,Ixhuatán,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0
122,7043,11777,Chiapas,Ixtacomitán,21,0,0,0,6,1,8,2,0,0,0,0,4,0,0
123,7044,29778,Chiapas,Ixtapa,9,0,0,0,2,2,2,0,0,1,1,0,0,1,0
124,7045,5988,Chiapas,Ixtapangajoya,10,0,0,0,2,5,0,0,1,0,0,1,0,1,0
125,7046,43292,Chiapas,Jiquipilas,17,0,0,0,1,5,2,0,2,0,0,0,5,2,0
126,7047,22619,Chiapas,Jitotol,12,0,0,1,1,3,3,0,1,0,0,0,3,0,0
127,7048,23527,Chiapas,Juárez,40,0,0,1,10,11,6,0,5,2,2,1,1,1,0
128,7049,25725,Chiapas,Larráinzar,6,0,0,0,0,0,0,2,0,2,0,1,1,0,0
129,7050,5424,Chiapas,La Libertad,20,0,0,0,0,2,10,1,0,0,0,0,3,2,2
130,7051,51875,Chiapas,Mapastepec,73,0,0,0,5,21,27,14,3,0,0,0,3,0,0
131,7052,134759,Chiapas,Las Margaritas,90,0,0,0,5,12,37,13,15,1,0,3,3,1,0
132,7053,8552,Chiapas,Mazapa de Madero,14,0,0,0,0,4,4,2,0,0,0,0,0,0,4
133,7054,31856,Chiapas,Mazatán,30,0,0,0,1,10,6,5,1,2,0,0,1,4,0
134,7055,6191,Chiapas,Metapa,12,0,0,0,2,2,2,0,1,0,0,1,2,1,1
135,7056,13286,Chiapas,Mitontic,4,0,0,0,0,0,0,1,1,0,1,1,0,0,0
136,7057,79732,Chiapas,Motozintla,65,0,0,2,13,31,7,3,2,1,1,1,3,1,0
137,7058,4726,Chiapas,Nicolás Ruíz,5,0,0,0,3,1,1,0,0,0,0,0,0,0,0
138,7059,239322,Chiapas,Ocosingo,126,0,0,8,33,23,17,8,6,2,4,10,9,5,1
139,7060,13773,Chiapas,Ocotepec,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0
140,7061,100318,Chiapas,Ocozocoautla de Espinosa,183,0,0,2,11,69,40,6,8,3,4,6,16,15,3
141,7062,19969,Chiapas,Ostuacán,16,0,0,0,3,5,1,3,1,0,1,0,1,0,1
142,7063,4110,Chiapas,Osumacinta,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0
143,7064,51731,Chiapas,Oxchuc,5,0,0,0,1,0,0,1,0,0,1,1,1,0,0
144,7065,131491,Chiapas,Palenque,193,0,1,11,39,45,23,14,14,6,8,14,7,10,1
145,7066,24107,Chiapas,Pantelhó,4,0,0,0,0,0,0,2,0,0,0,1,1,0,0
146,7067,13370,Chiapas,Pantepec,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
147,7068,34340,Chiapas,Pichucalco,136,0,0,3,27,36,20,18,15,1,1,4,7,4,0
148,7069,58167,Chiapas,Pijijiapan,36,0,0,0,10,13,5,0,2,0,0,0,6,0,0
149,7070,15501,Chiapas,El Porvenir,4,0,0,0,1,0,1,0,0,0,0,0,2,0,0
150,7071,31522,Chiapas,Villa Comaltitlán,10,0,0,0,1,5,2,0,0,0,0,2,0,0,0
151,7072,35144,Chiapas,Pueblo Nuevo Solistahuacán,5,0,0,0,1,1,3,0,0,0,0,0,0,0,0
152,7073,10564,Chiapas,Rayón,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
153,7074,49480,Chiapas,Reforma,218,0,0,7,47,24,37,18,13,6,7,12,35,12,0
154,7075,30874,Chiapas,Las Rosas,13,0,0,0,1,2,2,2,0,2,1,2,0,0,1
155,7076,29348,Chiapas,Sabanilla,10,0,0,0,3,4,1,1,0,0,0,0,1,0,0
156,7077,68779,Chiapas,Salto de Agua,19,0,0,1,3,6,3,2,1,0,1,0,1,1,0
157,7078,231345,Chiapas,San Cristóbal de las Casas,513,0,3,14,145,116,73,23,12,12,15,22,49,26,3
158,7079,42939,Chiapas,San Fernando,40,0,0,0,8,9,6,3,1,0,1,2,2,8,0
159,7080,39536,Chiapas,Siltepec,13,0,0,0,0,2,2,7,0,1,0,0,0,0,1
160,7081,48046,Chiapas,Simojovel,17,0,0,0,12,3,1,0,1,0,0,0,0,0,0
161,7082,15524,Chiapas,Sitalá,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
162,7083,20161,Chiapas,Socoltenango,14,0,0,0,5,3,2,2,1,0,0,1,0,0,0
163,7084,8812,Chiapas,Solosuchiapa,7,0,0,0,0,4,2,0,0,0,0,0,0,1,0
164,7085,11749,Chiapas,Soyaló,11,0,0,1,0,5,0,4,1,0,0,0,0,0,0
165,7086,26510,Chiapas,Suchiapa,27,0,0,1,7,9,5,1,0,0,0,2,2,0,0
166,7087,42201,Chiapas,Suchiate,23,0,0,0,4,10,8,0,0,1,0,0,0,0,0
167,7088,2601,Chiapas,Sunuapa,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
168,7089,384312,Chiapas,Tapachula,1624,0,3,23,330,459,181,120,79,65,17,44,176,101,26
169,7090,4346,Chiapas,Tapalapa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,7091,14197,Chiapas,Tapilula,10,0,0,1,1,2,2,1,0,0,0,2,0,1,0
171,7092,45447,Chiapas,Tecpatán,25,0,0,2,7,4,5,5,1,0,0,0,0,1,0
172,7093,47721,Chiapas,Tenejapa,3,0,0,0,0,0,0,1,0,1,0,1,0,0,0
173,7094,47217,Chiapas,Teopisca,11,0,0,1,3,2,3,1,0,0,0,0,0,1,0
174,7096,85507,Chiapas,Tila,17,0,0,2,3,8,2,0,0,0,0,0,1,1,0
175,7097,97839,Chiapas,Tonalá,246,0,0,18,22,58,39,23,11,6,2,18,31,12,6
176,7098,7894,Chiapas,Totolapa,4,0,0,0,1,0,0,0,0,1,0,1,0,1,0
177,7099,85344,Chiapas,La Trinitaria,26,0,0,0,1,6,7,2,4,3,0,1,2,0,0
178,7100,37381,Chiapas,Tumbalá,14,0,0,7,2,2,1,1,0,0,0,1,0,0,0
179,7101,662591,Chiapas,Tuxtla Gutiérrez,4066,1,8,63,806,1177,404,142,107,71,100,358,592,189,48
180,7102,45900,Chiapas,Tuxtla Chico,68,0,0,0,6,25,8,6,3,7,2,1,7,1,2
181,7103,34867,Chiapas,Tuzantán,24,0,0,0,1,9,11,0,0,0,0,1,1,1,0
182,7104,16874,Chiapas,Tzimol,10,0,0,0,3,3,3,0,1,0,0,0,0,0,0
183,7105,16780,Chiapas,Unión Juárez,13,0,0,0,0,5,3,1,0,0,0,0,0,3,1
184,7106,70992,Chiapas,Venustiano Carranza,103,0,0,3,40,28,12,3,1,0,0,2,4,5,5
185,7107,85784,Chiapas,Villa Corzo,39,0,0,1,7,7,11,0,3,0,1,3,5,1,0
186,7108,115691,Chiapas,Villaflores,90,0,0,3,13,23,15,14,1,0,3,4,12,2,0
187,7109,41655,Chiapas,Yajalón,32,0,0,4,12,7,5,0,0,1,0,0,3,0,0
188,7110,7896,Chiapas,San Lucas,4,0,0,0,1,0,0,1,0,0,0,0,2,0,0
189,7111,44824,Chiapas,Zinacantán,5,0,0,0,2,0,1,1,0,0,1,0,0,0,0
190,7112,37811,Chiapas,San Juan Cancuc,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0
191,7113,7152,Chiapas,Aldama,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0
192,7114,21603,Chiapas,Benemérito de las Américas,41,0,0,0,8,12,19,0,1,0,0,0,0,1,0
193,7115,13755,Chiapas,Maravilla Tenejapa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,7116,12226,Chiapas,Marqués de Comillas,6,0,0,0,0,2,3,1,0,0,0,0,0,0,0
195,7117,8367,Chiapas,Montecristo de Guerrero,6,0,0,0,0,0,1,3,2,0,0,0,0,0,0
196,7118,5845,Chiapas,San Andrés Duraznal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,7119,3975,Chiapas,Santiago el Pinar,5,0,0,0,0,0,0,1,1,1,0,1,1,0,0
198,8001,12953,Chihuahua,Ahumada,80,0,0,3,2,1,2,5,6,29,24,3,2,3,0
199,8002,26197,Chihuahua,Aldama,160,0,0,1,1,3,6,6,14,27,31,29,22,13,7
200,8003,9453,Chihuahua,Allende,93,0,0,0,2,2,1,1,2,12,33,8,8,13,11
201,8004,19050,Chihuahua,Aquiles Serdán,94,0,0,0,0,5,22,18,26,7,11,2,1,0,2
202,8005,26409,Chihuahua,Ascensión,76,0,0,1,4,4,34,9,0,12,4,4,2,2,0
203,8006,6729,Chihuahua,Bachíniva,17,0,0,5,0,0,2,1,0,3,1,1,2,1,1
204,8007,17825,Chihuahua,Balleza,20,0,0,0,0,2,1,0,0,3,3,3,3,5,0
205,8008,12939,Chihuahua,Batopilas de Manuel Gómez Morín,9,0,0,0,0,0,3,1,1,0,2,0,1,1,0
206,8009,29835,Chihuahua,Bocoyna,242,0,0,1,1,9,28,40,19,21,73,22,24,4,0
207,8010,25001,Chihuahua,Buenaventura,49,0,0,1,1,0,1,1,11,14,14,0,5,1,0
208,8011,55255,Chihuahua,Camargo,328,0,0,1,4,10,15,13,18,111,54,17,18,50,17
209,8012,10083,Chihuahua,Carichí,11,0,0,0,0,0,3,1,0,6,1,0,0,0,0
210,8013,12143,Chihuahua,Casas Grandes,38,0,1,0,1,4,2,1,1,4,8,2,5,7,2
211,8014,2364,Chihuahua,Coronado,13,0,0,0,1,0,2,0,0,1,2,4,2,1,0
212,8015,1819,Chihuahua,Coyame del Sotol,15,0,0,0,0,0,0,1,0,1,11,0,2,0,0
213,8016,4226,Chihuahua,La Cruz,27,0,0,0,0,0,1,1,4,12,4,3,2,0,0
214,8017,181552,Chihuahua,Cuauhtémoc,1509,0,0,6,20,35,188,199,207,256,181,128,123,115,51
215,8018,5098,Chihuahua,Cusihuiriachi,19,0,0,0,1,0,1,4,3,3,2,1,1,2,1
216,8019,949395,Chihuahua,Chihuahua,12287,0,5,184,364,383,742,995,1145,2861,2272,1093,1172,806,265
217,8020,8541,Chihuahua,Chínipas,67,0,0,0,0,0,2,1,10,12,26,4,9,3,0
218,8021,160245,Chihuahua,Delicias,1693,0,0,7,31,119,281,157,108,379,266,98,124,97,26
219,8022,2770,Chihuahua,Dr. Belisario Domínguez,4,0,0,0,0,0,0,1,1,0,1,0,1,0,0
220,8023,7056,Chihuahua,Galeana,8,0,0,1,0,1,3,0,0,2,1,0,0,0,0
221,8024,4293,Chihuahua,Santa Isabel,30,0,0,0,0,1,0,1,2,4,3,9,10,0,0
222,8025,9599,Chihuahua,Gómez Farías,74,0,0,0,0,3,10,6,2,3,4,0,4,25,17
223,8026,2787,Chihuahua,Gran Morelos,18,0,0,0,0,1,4,4,0,0,0,6,3,0,0
224,8027,49926,Chihuahua,Guachochi,312,0,0,4,9,5,8,19,14,72,80,29,44,22,6
225,8028,5080,Chihuahua,Guadalupe,18,0,0,2,0,0,1,0,6,4,3,2,0,0,0
226,8029,58658,Chihuahua,Guadalupe y Calvo,45,0,0,1,2,3,1,1,1,6,11,1,12,4,2
227,8030,8603,Chihuahua,Guazapares,73,0,0,0,1,0,2,2,1,16,9,4,10,23,5
228,8031,42409,Chihuahua,Guerrero,89,0,0,1,0,1,4,10,10,13,14,7,12,12,5
229,8032,117624,Chihuahua,Hidalgo del Parral,1986,0,0,4,71,44,106,117,162,561,367,125,162,202,65
230,8033,1070,Chihuahua,Huejotitán,7,0,0,0,0,0,0,0,0,1,0,1,5,0,0
231,8034,7488,Chihuahua,Ignacio Zaragoza,13,0,0,0,2,0,0,0,0,5,3,2,0,0,1
232,8035,11778,Chihuahua,Janos,21,0,0,0,2,2,6,2,0,3,0,2,2,2,0
233,8036,45709,Chihuahua,Jiménez,324,0,0,1,4,18,23,22,23,75,55,38,45,17,3
234,8037,1464930,Chihuahua,Juárez,21440,0,31,648,1545,999,1090,1223,1558,8812,3847,681,575,351,80
235,8038,4913,Chihuahua,Julimes,20,0,0,2,0,1,1,2,2,1,3,2,1,5,0
236,8039,4342,Chihuahua,López,22,0,0,0,1,1,2,1,0,3,5,2,5,2,0
237,8040,30936,Chihuahua,Madera,42,0,0,0,3,0,1,8,5,4,6,4,7,1,3
238,8041,1731,Chihuahua,Maguarichi,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
239,8042,1562,Chihuahua,Manuel Benavides,55,0,0,0,0,0,11,3,0,3,1,8,27,1,1
240,8043,3306,Chihuahua,Matachí,4,0,0,0,0,0,2,0,0,1,0,0,0,1,0
241,8044,4847,Chihuahua,Matamoros,17,0,0,0,0,0,0,0,2,11,2,0,0,1,1
242,8045,48242,Chihuahua,Meoqui,241,0,0,3,17,25,36,15,8,20,41,22,25,21,8
243,8046,8309,Chihuahua,Morelos,7,0,0,0,0,1,0,0,0,0,0,0,1,5,0
244,8047,5520,Chihuahua,Moris,5,0,0,0,0,1,0,1,0,0,0,1,2,0,0
245,8048,25596,Chihuahua,Namiquipa,79,0,0,7,10,3,10,11,14,13,5,3,2,1,0
246,8049,2831,Chihuahua,Nonoava,20,0,0,0,0,0,0,0,1,3,7,6,0,3,0
247,8050,67320,Chihuahua,Nuevo Casas Grandes,707,0,0,1,13,32,69,36,57,207,151,56,45,29,11
248,8051,7989,Chihuahua,Ocampo,10,0,0,0,0,1,1,1,1,1,1,1,3,0,0
249,8052,29996,Chihuahua,Ojinaga,956,0,1,0,12,20,90,34,26,141,236,136,202,52,6
250,8053,5140,Chihuahua,Praxedis G. Guerrero,17,0,0,0,0,2,1,0,9,0,1,2,1,1,0
251,8054,8290,Chihuahua,Riva Palacio,6,0,0,0,0,0,2,3,1,0,0,0,0,0,0
252,8055,18394,Chihuahua,Rosales,81,0,0,1,0,4,8,13,4,15,12,4,12,4,4
253,8056,2182,Chihuahua,Rosario,5,0,0,0,0,0,0,0,0,2,1,0,0,2,0
254,8057,2445,Chihuahua,San Francisco de Borja,9,0,0,0,0,0,0,1,2,0,1,4,0,1,0
255,8058,2830,Chihuahua,San Francisco de Conchos,12,0,0,0,0,0,0,2,0,6,3,0,0,1,0
256,8059,5502,Chihuahua,San Francisco del Oro,32,0,0,0,1,1,0,0,1,14,7,1,1,3,3
257,8060,11572,Chihuahua,Santa Bárbara,84,0,0,0,2,2,0,3,10,29,20,4,4,8,2
258,8061,3381,Chihuahua,Satevó,6,0,0,0,0,0,3,2,0,1,0,0,0,0,0
259,8062,34050,Chihuahua,Saucillo,210,0,0,1,5,12,16,9,10,58,42,14,24,14,5
260,8063,7001,Chihuahua,Temósachic,14,0,0,1,0,0,1,1,1,5,2,0,2,0,1
261,8064,1830,Chihuahua,El Tule,9,0,0,0,0,0,0,0,1,0,4,0,4,0,0
262,8065,22257,Chihuahua,Urique,39,0,0,0,1,1,7,2,0,12,6,2,3,5,0
